contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250331C05535000,2025-03-28 20:12:15+00:00,5580.93994140625,21.649999618530273,5535.0,55.54,48.0,48.8,-75.26,-57.53823,72.0,45,0.10141889801025389,True,REGULAR,USD
SPXW250331C05540000,2025-03-28 20:14:19+00:00,5580.93994140625,21.649999618530273,5540.0,51.66,45.1,45.8,-183.17,-78.00111,690.0,65,0.1131375308227539,True,REGULAR,USD
SPXW250331C05545000,2025-03-28 20:03:25+00:00,5580.93994140625,21.649999618530273,5545.0,52.99,42.1,42.9,-79.40999,-59.977333,69.0,48,0.12172814315795899,True,REGULAR,USD
SPXW250331C05550000,2025-03-28 20:12:46+00:00,5580.93994140625,21.649999618530273,5550.0,45.92,39.4,40.0,-115.81,-71.607,1159.0,838,0.1277858218383789,True,REGULAR,USD
SPXW250331C05555000,2025-03-28 20:14:05+00:00,5580.93994140625,21.649999618530273,5555.0,42.5,36.6,37.3,-109.759995,-72.08722,141.0,39,0.13337048278808594,True,REGULAR,USD
SPXW250331C05560000,2025-03-28 20:14:48+00:00,5580.93994140625,21.649999618530273,5560.0,40.0,34.0,34.6,-107.759995,-72.92907,204.0,61,0.13739876281738284,True,REGULAR,USD
SPXW250331C05565000,2025-03-28 20:14:42+00:00,5580.93994140625,21.649999618530273,5565.0,36.8,31.6,32.1,-103.259995,-73.72555,2014.0,190,0.14136600830078128,True,REGULAR,USD
SPXW250331C05570000,2025-03-28 20:14:19+00:00,5580.93994140625,21.649999618530273,5570.0,34.25,29.0,29.6,-120.64,-77.887535,668.0,57,0.14411256286621094,True,REGULAR,USD
SPXW250331C05575000,2025-03-28 20:14:51+00:00,5580.93994140625,21.649999618530273,5575.0,31.8,26.7,27.3,-98.09999,-75.51963,1612.0,354,0.1469888158416748,True,REGULAR,USD
SPXW250331C05580000,2025-03-28 20:14:59+00:00,5580.93994140625,21.649999618530273,5580.0,29.3,24.5,25.1,-105.479996,-78.26087,1346.0,43,0.14943019767761231,True,REGULAR,USD
SPXW250331C05585000,2025-03-28 20:14:59+00:00,5580.93994140625,21.649999618530273,5585.0,26.95,22.4,22.9,-108.28,-80.07099,2325.0,83,0.15088739746093754,False,REGULAR,USD
SPXW250331C05590000,2025-03-28 20:14:48+00:00,5580.93994140625,21.649999618530273,5590.0,24.8,20.3,20.9,-102.03999,-80.44781,1642.0,135,0.15259636474609378,False,REGULAR,USD
SPXW250331C05595000,2025-03-28 20:14:34+00:00,5580.93994140625,21.649999618530273,5595.0,22.5,18.4,19.0,-102.24,-81.96249,973.0,64,0.1540001593017578,False,REGULAR,USD
SPXW250331C05600000,2025-03-28 20:14:52+00:00,5580.93994140625,21.649999618530273,5600.0,20.3,16.8,17.2,-89.259995,-81.47134,5338.0,3289,0.1551140397644043,False,REGULAR,USD
SPXW250331C05605000,2025-03-28 20:14:49+00:00,5580.93994140625,21.649999618530273,5605.0,18.4,15.1,15.5,-91.15,-83.20401,1584.0,89,0.15596852340698242,False,REGULAR,USD
SPXW250331C05610000,2025-03-28 20:14:56+00:00,5580.93994140625,21.649999618530273,5610.0,16.5,13.6,14.0,-87.76,-84.17418,1711.0,267,0.1572502488708496,False,REGULAR,USD
SPXW250331C05615000,2025-03-28 20:13:31+00:00,5580.93994140625,21.649999618530273,5615.0,15.0,12.0,12.5,-93.65,-86.1942,1125.0,93,0.15767749069213866,False,REGULAR,USD
SPXW250331C05620000,2025-03-28 20:14:35+00:00,5580.93994140625,21.649999618530273,5620.0,13.44,10.8,11.2,-78.96,-85.454544,2014.0,974,0.15860826751708984,False,REGULAR,USD
SPXW250331C05625000,2025-03-28 20:14:35+00:00,5580.93994140625,21.649999618530273,5625.0,11.97,9.6,10.0,-81.35,-87.173164,2956.0,817,0.15943223388671873,False,REGULAR,USD
SPXW250331C05630000,2025-03-28 20:14:53+00:00,5580.93994140625,21.649999618530273,5630.0,10.6,8.4,8.9,-81.200005,-88.45316,1680.0,124,0.16019516571044923,False,REGULAR,USD
